cluster_id,x,y,z
0,10.844,17.667,0.702729
0,10.8844,17.6035,0.691892
0,10.9631,17.6009,0.683053
0,11.024,17.5667,0.672988
0,11.1047,17.5669,0.664255
0,11.2484,17.5353,0.645561
0,11.3901,17.499,0.626714
0,11.4745,17.5096,0.618656
0,11.0795,17.59,1.38457
0,11.5475,17.4941,0.609322
0,11.1664,17.6006,1.37803
0,11.2133,17.5419,1.36606
0,11.2882,17.5313,1.35789
0,11.635,17.5023,0.600811
0,11.7123,17.493,0.591679
0,11.5896,17.4942,1.32596
0,11.8307,17.5566,0.585432
0,11.671,17.4923,1.31848
0,11.9988,17.4894,1.28934
0,12.3077,17.442,1.25663
0,12.379,17.4202,1.24775
0,12.6661,17.4079,0.483676
0,12.7689,17.4306,0.47533
0,12.7674,17.3667,1.20825
0,12.8682,17.4409,0.466161
0,12.9081,17.3703,0.455247
0,12.991,17.3621,0.446019
0,13.331,17.3495,0.410365
0,13.6522,17.4223,0.385098
0,11.8247,17.4789,1.30319
0,13.147,17.3369,0.42775
0,13.2455,17.3559,0.419605
0,13.4422,17.3785,0.401957
0,13.8563,17.3227,0.355317
0,13.9594,17.3359,0.346365
0,13.0732,17.3589,0.437349
0,13.5995,17.4701,0.394936
0,13.8082,17.383,0.365816
0,10.9731,17.5442,1.38831
0,10.8946,17.5466,1.39586
0,11.3632,17.5204,1.34969
0,11.4279,17.492,1.34017
0,11.505,17.4839,1.33222
0,11.7315,17.4559,1.30842
0,11.8895,17.4488,1.29364
0,12.0412,17.4233,1.27715
0,12.1306,17.4311,1.27043
0,12.219,17.4368,1.26355
0,12.4385,17.3866,1.23841
0,12.5318,17.3975,1.23191
0,12.5946,17.3684,1.22292
0,12.7027,17.4001,1.21788
0,12.9396,17.3618,1.19336
0,13.0369,17.3682,1.18616
0,13.6074,17.4233,1.14682
0,13.7987,17.5071,1.90834
0,13.8192,17.4092,1.89215
0,13.8664,17.3481,1.88005
0,12.8546,17.3661,1.20093
0,11.8193,17.5989,-0.13602
0,13.1043,17.3438,1.17757
0,13.1839,17.3302,1.16937
0,13.3611,17.3333,1.15539
0,13.7384,17.4141,0.37571
0,13.2227,17.3817,-0.322759
0,14.0687,17.3566,0.337526
0,13.3244,17.3979,-0.333969
0,13.1384,17.3897,-0.312018
0,13.4775,17.4852,-0.346634
0,13.7893,17.4067,-0.389406
0,12.6642,17.4601,-0.249532
0,13.9829,17.4222,-0.411613
0,13.875,17.4029,-0.399949
0,14.0785,17.3148,1.09626
0,11.4343,17.5049,-0.0946172
0,10.9785,17.5527,-0.0341359
0,10.9039,17.5628,-0.0240513
0,10.7705,17.6099,-0.00392783
0,13.0561,17.3935,-0.30177
0,13.6824,17.4065,1.13875
0,13.719,17.3309,1.12647
0,13.8301,17.3564,1.12084
0,13.2732,17.3363,1.16287
0,13.4601,17.3515,1.14969
0,13.9009,17.3269,1.11163
0,13.9837,17.3131,1.10344
0,13.9218,17.2981,1.86921
0,13.9877,17.2622,1.85995
0,14.0752,17.2547,1.85378
0,14.201,17.3028,1.85391
0,11.6875,17.5203,-0.125077
0,11.6144,17.5366,-0.114858
0,11.533,17.539,-0.104567
0,11.3563,17.5117,-0.0844178
0,11.2833,17.5198,-0.07465
0,11.1995,17.5156,-0.0644521
0,11.1248,17.5266,-0.0543289
0,12.5321,17.524,-0.229035
0,11.0591,17.5528,-0.0442573
0,12.6104,17.5105,-0.239531
0,12.7402,17.4428,-0.259988
0,10.8372,17.5865,-0.013991
0,12.9035,17.4236,-0.281188
0,12.9845,17.4188,-0.291373
0,13.5811,17.5018,-0.358029
0,12.8151,17.4234,-0.270427
0,13.6486,17.4677,-0.368435
0,13.7278,17.4494,-0.379181
0,11.1866,17.5642,-0.774154
0,10.8269,17.6418,-0.719655
0,10.6844,17.6733,-0.698011
0,10.7484,17.6446,-0.708304
0,11.2686,17.5715,-0.785667
0,11.3415,17.5562,-0.796675
0,10.9506,17.5762,-0.73994
0,11.447,17.5955,-0.810212
0,10.8898,17.6109,-0.729876
0,11.5315,17.6052,-0.82189
0,11.6005,17.5819,-0.832646
0,11.7402,17.6745,-0.84896
0,11.8012,17.6368,-0.85912
0,12.5967,17.5519,-0.975492
0,12.6794,17.5444,-0.987515
0,12.7441,17.503,-0.998269
1,21.8566,26.834,1.66064
1,21.8559,26.643,1.63753
1,23.1818,26.249,1.49279
1,21.655,25.3078,1.4919
1,23.2682,26.1765,1.47806
1,22.9995,25.7424,0.2549
1,21.7588,24.975,0.302
1,21.8537,24.922,0.288187
1,21.9611,24.4611,1.36939
1,21.1486,24.5148,1.43438
1,23.5928,25.1187,1.33187
1,22.184,24.3786,1.34392
1,22.0169,24.7665,0.258679
1,21.4472,24.3679,1.39523
1,21.3028,24.3577,1.40446
1,21.6355,22.786,1.19704
1,25.19,23.2916,1.02195
1,26.7056,25.7781,1.20019
1,24.6639,25.5892,1.31297
1,23.5155,24.022,1.21135
1,27.1437,27.3074,1.34291
1,22.4803,21.6942,1.01706
1,21.2335,24.4456,1.41994
1,21.8961,24.7978,0.272889
1,24.34,24.5589,1.21742
1,25.2192,24.1301,1.1123
1,21.5305,21.1625,1.01919
1,21.6274,21.1161,1.00765
1,21.765,21.1106,0.998104
1,23.2267,20.669,0.858036
1,23.3915,25.4693,0.193788
1,23.4712,25.391,0.179396
1,22.1527,24.5797,0.229043
1,23.2724,23.979,0.0723047
1,23.3799,23.9362,0.0587888
1,23.5066,23.8969,0.043884
1,25.2049,26.422,0.111823
1,24.6787,23.9665,-0.055073
1,25.6978,26.773,0.0978851
1,25.6508,24.109,-0.128564
1,23.4166,22.5338,-0.0663466
1,22.6083,22.4797,0.001055
1,22.6498,22.3673,-0.0124271
1,22.2136,22.3698,0.026988
1,25.3372,23.1517,-0.182142
1,24.0539,22.8633,-0.0943658
1,25.4797,23.1262,-0.19664
1,24.9463,23.5319,1.06358
1,24.8838,22.3622,0.939849
1,24.9183,20.6247,0.75339
1,24.7921,22.7512,0.987674
1,25.2232,23.0035,0.988501
1,23.6695,19.157,0.672391
1,23.9046,19.083,0.651075
1,25.7184,21.0252,0.749212
1,24.1567,18.8587,1.66342
1,25.0867,23.7216,-0.112022
1,26.437,20.7397,0.679249
1,26.8619,20.6252,1.80656
1,24.2811,19.9432,0.71902
1,24.8447,19.3134,0.622339
1,25.0771,19.0686,1.66387
1,25.5995,19.0718,1.65045
1,25.9257,18.9423,0.527243
1,24.5619,18.8233,0.588336
1,25.9542,18.8088,1.60984
1,26.95,25.1576,1.11639
1,30.5202,25.627,0.952558
1,31.0387,24.8425,0.841835
1,23.8355,19.1529,0.662144
1,22.1819,20.9624,0.954954
1,22.8713,20.6294,0.875443
1,26.8697,20.7774,1.8251
1,24.1282,18.9683,1.67788
1,23.4386,16.8011,1.43169
1,23.423,16.6692,1.41638
1,23.3977,16.4124,1.38659
1,24.0089,22.0495,-0.159552
1,24.8185,23.7849,-0.0829799
1,25.2722,21.114,-0.345077
1,25.3138,23.6237,-0.140256
1,24.998,23.1562,-0.152261
1,24.5629,22.1071,-0.202744
1,29.7894,25.3909,-0.377528
1,24.1816,18.7466,1.6488
1,23.3576,16.8783,0.459461
1,23.4115,16.5413,1.40149
1,23.3947,16.292,1.3725
1,23.3836,16.0495,1.34439
1,23.3784,16.0654,0.379701
1,23.3309,15.4481,1.27606
1,23.3184,15.3261,1.26241
1,23.307,15.2056,1.24894
1,23.3056,15.098,1.23679
1,23.2947,14.9791,1.22359
1,23.2816,14.8592,1.21039
1,23.4317,15.0858,0.2849
1,23.2704,14.7468,1.19802
1,23.2612,14.6307,1.18527
1,23.2549,14.5171,1.17279
1,23.2268,14.0717,1.12439
1,23.4687,13.1717,1.93981
1,23.4557,13.0682,1.92743
1,23.4385,12.8531,1.901
1,23.1205,12.5714,0.967969
1,23.1915,12.5106,1.85555
1,23.2288,14.2829,1.14744
1,23.3943,16.1742,1.3587
1,23.3683,16.651,0.436703
1,23.1305,11.6009,1.74782
1,23.3505,16.7581,0.448066
1,23.3679,16.5309,0.42506
1,23.3604,16.4063,0.413381
1,23.3411,16.2737,0.401582
1,23.504,16.0378,0.370741
1,23.5584,15.9648,0.36103
1,23.4671,14.9971,0.275005
